product_id,category_id,supplier_id,sku,product_name,brand,cost_price,selling_price,discount_percent,gst_percent,stock_quantity,reorder_level,rating,launch_date,warranty_months,color,unit,status,inventory_value,returnable
1,4,4,SKU100001,Tempore Culpa,Nike,16149,19566.22,5,18,692,79,1.3,2021-10-07,6,White,Box,Active,13539824.24,Yes
2,18,26,SKU100002,Harum Exercitationem,CELLO,42690,61928.78,30,18,225,67,3.4,2023-06-15,6,Blue,Kg,Inactive,13933975.5,No
3,5,28,SKU100003,Deserunt Corporis,Puma,6798,7793.04,5,18,367,54,3.4,2026-03-12,36,Yellow,Piece,Inactive,2860045.68,Yes
4,18,38,SKU100004,Commodi Rerum,Prestige,40635,62688.67,25,18,591,34,3.8,2025-02-21,12,Green,Piece,Active,37049003.97,Yes
5,13,36,SKU100005,Aliquid Aliquam,Canon,41760,63352.23,10,18,379,55,1.8,2022-05-09,6,Brown,Box,Active,24010495.17,Yes
6,15,49,SKU100006,Esse Eveniet,Nike,42043,60713.5,15,18,701,51,4.4,2025-11-08,12,Black,Pack,Inactive,42560163.5,No
7,3,28,SKU100007,Sed Alias,Xiaomi,47149,59282.27,40,18,405,92,2.8,2026-04-30,12,Yellow,Litre,Inactive,24009319.35,No
8,19,52,SKU100008,Eius Totam,Levis,14473,23137.45,10,18,521,73,1.4,2026-03-11,6,Blue,Box,Inactive,12054611.45,Yes
9,13,49,SKU100009,Nihil Est,Bajaj,30774,41992.88,50,18,881,11,3.7,2025-05-17,24,Silver,Piece,Inactive,36995727.28,No
10,6,59,SKU100010,Repudiandae Hic,Samsung,47423,72933.09,20,18,995,74,4.0,2021-08-11,6,Green,Litre,Active,72568424.55,Yes
11,12,98,SKU100011,Dolore Voluptatem,Dell,35448,55892.63,50,18,940,10,3.4,2025-02-24,6,Silver,Pack,Active,52539072.2,Yes
12,8,73,SKU100012,Laboriosam Hic,Sony,5713,8374.99,5,18,778,78,4.1,2022-11-17,36,Yellow,Box,Inactive,6515742.22,No
13,7,70,SKU100013,Esse Labore,Cello,13282,19344.89,30,18,687,93,2.5,2022-06-04,36,White,Box,Active,13289939.43,Yes
14,11,3,SKU100014,Consectetur Modi,Xiaomi,36401,44229.3,15,18,7,19,3.8,2022-05-18,6,Black,Pack,Active,309605.1,Yes
15,9,86,SKU100015,Magnam Laborum,Asus,14140,19366.38,40,18,248,70,4.2,2023-10-21,6,Grey,Pack,Inactive,4802862.24,No
16,15,94,SKU100016,Aperiam Officia,Apple,44229,63102.74,5,18,62,61,3.9,2026-02-12,6,Red,Box,Active,3912369.88,No
17,5,55,SKU100017,Cupiditate Minus,Dell,18354,24434.94,5,18,453,80,1.4,2022-03-23,6,White,Box,Active,11069027.82,No
18,16,62,SKU100018,Quod Impedit,Lenovo,26382,40924.32,10,18,388,10,4.9,2024-08-18,36,Green,Kg,Inactive,15878636.16,Yes
19,7,38,SKU100019,Repellat Earum,Lenovo,3932,5463.87,50,18,62,50,1.2,2022-02-23,12,Black,Litre,Active,338759.94,Yes
20,3,77,SKU100020,Aperiam Ut,Sony,44350,67895.84,30,18,122,82,2.0,2023-06-30,6,Grey,Litre,Inactive,8283292.48,No
21,7,86,SKU100021,Illum Beatae,Cello,20690,25228.21,30,18,134,95,3.6,2023-07-15,6,Black,Kg,Active,3380580.14,Yes
