return_id,order_id,customer_id,return_date,return_reason,refund_amount,refund_status,inspection_status,return_mode,warehouse,product_condition,resolution,exchange_requested,processing_days,refund_method,customer_feedback,region,case_status,pickup_completed,ticket_status
1,5629,4356,2024-10-20,Changed Mind,27914.52,Completed,Passed,Pickup,Warehouse C,Opened,Refund,No,1,UPI,Excellent,South,Resolved,Yes,Active
2,1569,9474,2026-08-01,Missing Parts,1758.73,Completed,Failed,Drop,Warehouse A,Opened,Replacement,No,5,UPI,Good,East,Resolved,Yes,Closed
3,36369,7663,2025-03-24,Duplicate Order,86786.69,Rejected,Failed,Pickup,Warehouse C,Sealed,Refund,No,2,Wallet,Average,East,Resolved,Yes,Active
4,5775,1453,2024-11-11,Changed Mind,21619.59,Completed,Passed,Pickup,Warehouse B,Sealed,Replacement,No,3,Bank Transfer,Average,South,Pending,Yes,Active
5,196,2467,2024-10-07,Quality Issue,123341.42,Pending,Failed,Drop,Warehouse C,Opened,Replacement,Yes,4,UPI,Average,West,Pending,Yes,Active
6,4888,8383,2024-09-09,Duplicate Order,17308.29,Completed,Pending,Drop,Warehouse B,Sealed,Refund,No,3,UPI,Average,West,Pending,No,Active
7,47726,4580,2025-08-09,Wrong Item Delivered,102030.7,Completed,Passed,Pickup,Warehouse C,Opened,Replacement,Yes,7,Bank Transfer,Poor,East,Resolved,Yes,Closed
8,23971,7248,2025-08-15,Wrong Item Delivered,89232.17,Pending,Failed,Pickup,Warehouse B,Opened,Replacement,Yes,9,UPI,Average,South,Resolved,No,Active
9,32874,1496,2025-06-29,Damaged Product,39494.78,Rejected,Failed,Drop,Warehouse A,Opened,Replacement,No,4,UPI,Good,North,Resolved,No,Active
10,17097,5655,2025-08-08,Quality Issue,70562.37,Completed,Pending,Drop,Warehouse C,Opened,Replacement,No,4,Wallet,Good,East,Pending,No,Closed
11,30613,5269,2025-10-05,Wrong Item Delivered,111419.77,Completed,Passed,Pickup,Warehouse B,Opened,Refund,Yes,1,UPI,Excellent,South,Resolved,Yes,Closed
