supplier_id,supplier_name,contact_person,email,phone,city,state,country,gst_number,supplier_type,payment_terms,established_year,years_of_business,supplier_rating,total_products,international_supplier,average_delivery_days,annual_business,website,is_active
1,"Choudhury, Bakshi and Maharaj",Udant Dewan,contact1@supplier.com,9022768040,Mumbai,Maharashtra,India,16GPOSS4428Y1Z5,Wholesaler,45 Days,2020,11,3.7,2857,Yes,48,6384122,http://www.sami.com/,1
2,Kaul PLC,Rushil Saini,contact2@supplier.com,9868759358,Jaipur,Rajasthan,India,29XJEBR7988M1Z5,Distributor,45 Days,2021,8,4.1,1816,No,360,1207935,http://mall.biz/,1
3,Mall-Dugal,Gayathri Chaudry,contact3@supplier.com,9713965687,Noida,Uttar Pradesh,India,17VUKBX5724U1Z5,Importer,15 Days,2018,7,3.9,4698,No,300,7197926,http://parmer.org/,0
4,Bassi-Sharaf,Kritika Brar,contact4@supplier.com,9295001674,Jaipur,Rajasthan,India,12KPMGO9618Y1Z5,Distributor,30 Days,2013,12,4.2,3816,Yes,135,8408441,https://handa.com/,1
5,Buch-Kaul,Lajita Mall,contact5@supplier.com,9982661757,Noida,Uttar Pradesh,India,26XPMCJ9822S1Z5,Manufacturer,Advance,2025,29,3.6,4463,Yes,66,7983915,https://prabhakar.com/,1
6,"Loke, Bora and Garg",Nihal Shere,contact6@supplier.com,9569976736,Ahmedabad,Gujarat,India,21LNDFI5220U1Z5,Manufacturer,15 Days,2012,4,4.8,680,Yes,143,8153903,https://kanda.com/,1
7,Mutti Group,Dominic Kakar,contact7@supplier.com,9195478104,Noida,Uttar Pradesh,India,23KWBQQ0781G1Z5,Wholesaler,60 Days,2024,7,4.1,2381,No,128,1274748,https://www.tata.com/,0
8,Dewan-Koshy,Priya Rastogi,contact8@supplier.com,9065007244,Noida,Uttar Pradesh,India,37KBJZG7449Z1Z5,Importer,15 Days,2016,12,3.8,579,Yes,161,969074,https://www.upadhyay.com/,1
9,Choudhary and Sons,Pahal Bhatt,contact9@supplier.com,9495058008,Gurgaon,Haryana,India,22DXGPQ4559G1Z5,Distributor,15 Days,2018,15,3.7,2557,No,162,1227071,https://sidhu.net/,1
10,Contractor Ltd,Harini Choudhury,contact10@supplier.com,9650551302,Kolkata,West Bengal,India,19EVSPZ6082V1Z5,Manufacturer,15 Days,2018,6,4.8,4632,Yes,140,4737085,https://setty.com/,1
11,"Gokhale, Tripathi and Cherian",Yashica Issac,contact11@supplier.com,9262498042,Jaipur,Rajasthan,India,10IDZEL7519W1Z5,Wholesaler,60 Days,2011,29,4.1,4626,Yes,221,2148181,http://zacharia.com/,1
12,"Naik, Suresh and Bahl",Janani Mohanty,contact12@supplier.com,9399036635,Ahmedabad,Gujarat,India,37KQEYW9880X1Z5,Distributor,45 Days,2017,11,3.7,985,No,20,7906868,http://www.brar.info/,1
13,Walia and Sons,Vaishnavi Gandhi,contact13@supplier.com,9843720138,Chennai,Tamil Nadu,India,34HQKZN9191I1Z5,Manufacturer,Advance,2023,14,4.6,2669,No,311,8590255,https://zacharia.com/,1
14,"Muni, Rastogi and Prakash",Zansi Seth,contact14@supplier.com,9810458697,Lucknow,Uttar Pradesh,India,16JBRII8733N1Z5,Distributor,45 Days,2019,20,3.7,3544,No,347,2929694,http://www.bhatt.com/,0
15,"Karpe, Kannan and Amble",Daniel Karnik,contact15@supplier.com,9502456442,Lucknow,Uttar Pradesh,India,25UYTRH6609H1Z5,Distributor,15 Days,2016,7,3.5,2105,No,313,1231854,http://www.bobal-varkey.com/,0
16,Sunder-Kala,Urvashi Kibe,contact16@supplier.com,12345,Lucknow,Uttar Pradesh,India,13UFUSM5911O1Z5,Distributor,45 Days,2023,29,4.9,3752,Yes,244,7560917,https://chandra.biz/,0
